class,attrcount,relcount,opcount,novelty
RequestAbstractType,6,1,5,1
AuthnRequestType,7,2,7,0.47
RequestAbstractType::__sequence2,3,0,3,1
StatusResponseType::__sequence8,4,0,4,1
Request,1,2,3,0.27
AuthnRequest,1,1,0,0.25
Issuer,0,0,0,1
StatusResponseType,1,1,0,1
Httpd,7,0,3,1
Worker,2,0,1,1
Response,2,1,3,0.38
ResponseType,1,2,0,0.23
ResponseType::__choice3,2,0,2,0.29
Assertion,1,0,5,1
Attribute,0,0,3,1
Status,0,0,1,1

